                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7207,                 1.1035,                 1.1089,                0.49557,                      1,                0.76675,                0.43817,                 1.5396,                0.86338,                 1.0889,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.7081,                 1.0916,                 1.0902,                0.93332,                0.66667,                0.71324,                0.45396,                 1.5214,                0.95123,                 1.0963,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.7072,                 1.0978,                 1.0986,                0.40684,                0.66667,                0.69027,                0.43775,                 1.5908,                0.96808,                 1.1038,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.7142,                 1.1021,                 1.1028,                0.43743,                0.66667,                0.71147,                0.42994,                  1.523,                0.93963,                 1.0716,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.7191,                 1.0716,                 1.0895,                0.95116,                0.66667,                0.73911,                0.44005,                 1.4834,                0.87905,                 1.0556,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.6955,                 1.0711,                 1.0939,                0.88482,                0.66667,                0.74077,                0.48372,                  1.522,                0.91121,                 1.1018,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.6421,                 1.0485,                 1.1098,                0.60936,                      1,                0.98595,                0.54406,                 1.5689,                0.91329,                 1.0807,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.6188,                 1.0331,                 1.1065,                0.56148,                      1,                0.76668,                0.48784,                 1.5126,                0.90826,                 1.0767,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.6213,                 1.0113,                 1.1077,                0.70318,                      1,                0.99143,                0.62805,                 1.4082,                0.86325,                 1.0528,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.5859,                0.98538,                 1.1005,                0.56887,                      1,                0.82917,                0.53413,                 1.4036,                0.83331,                 1.0391,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.5992,                0.99313,                  1.106,                0.75525,                      1,                0.99333,                0.63369,                 1.4166,                0.82301,                 1.0525,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.5885,                0.99493,                 1.0981,                0.83793,                      1,                0.99143,                0.62652,                 1.3824,                0.83093,                 1.0465,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 1.5769,                0.97475,                 1.0888,                0.66557,                      1,                0.99333,                0.62261,                 1.4677,                0.81485,                 1.0471,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 1.5677,                  0.974,                 1.0922,                0.68385,                      1,                  0.995,                0.62857,                   1.51,                0.80945,                 1.0503,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                  1.576,                0.96371,                 1.0908,                0.71467,                      1,                  0.995,                0.62739,                 1.4484,                0.79301,                 1.0446,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.5674,                 0.9616,                 1.0833,                0.80421,                      1,                  0.995,                0.67001,                 1.3763,                0.80326,                 1.0364,             3.5414e-05,             3.5414e-05,             3.5414e-05
